YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
202303,176739,1078367,4,.62,"NW","IONA",38.5569,-87.4773,3833414,8728638
202303,176742,1074014,1,2.07,"N","ABERNATHY ARPT",35.18,-87.05,3510800,873000
202303,176742,1074015,1,1.49,"SSW","PROSPECT",35.01,-87.01,35600,87600
202303,176742,1074016,1,1.67,"W","NASHVILLE",36.17,-86.81,3610200,8648600
202303,176742,1074017,1,.45,"ENE","GOODLETTSVILLE",36.322,-86.7123,3619320,8642738
202303,176742,1074018,1,2.19,"SSW","MILLERSVILLE",36.3394,-86.71,3620364,8642600
202303,176742,1074019,1,0,"N","GOODLETTSVILLE",36.32,-86.72,3619200,8643200
202303,176742,1074020,1,3.41,"SSW","CORNERSVILLE",35.3231,-86.8688,3519386,8652128
202303,176742,1074021,1,.89,"NW","JEFFERSON",35.99,-86.48,3559400,8628800
202303,176742,1074022,1,.56,"W","IVY BLUFF",35.67,-86.06,3540200,863600
202303,176742,1074023,1,.56,"E","MONTEREY",36.15,-85.26,369000,8515600
202303,176742,1074024,1,2.11,"N","GUM SPGS",35.2305,-87.2981,3513830,8717886
202306,179322,1092208,1,0,"N","BUOY 41009",28.52,-80.17,2831200,8010200
202306,179380,1092523,1,2.1,"NW","UPPER ARLINGTON",40.05,-83.1,403000,836000
202306,179380,1092524,1,1.55,"W","UPPER ARLINGTON",40.0261,-83.0989,401566,835934
202306,179380,1104760,1,1.36,"S","WAYNESFIELD",40.5805,-83.9777,4034830,8358662
202306,179382,1092538,1,4.19,"W","(ASE)ASPEN ARPT",39.2107,-106.9474,3912642,10656844
202306,179382,1092538,2,4.2,"W","(ASE)ASPEN ARPT",39.2105,-106.9475,3912630,10656850
202306,179382,1092538,3,4.23,"W","(ASE)ASPEN ARPT",39.2105,-106.948,3912630,10656880
202306,179382,1092538,4,4.21,"W","(ASE)ASPEN ARPT",39.2107,-106.9478,3912642,10656868
202306,179396,1092584,1,.91,"NW","COLLEGE STATION",30.61,-96.34,3036600,9620400
202306,179396,1092585,1,0,"N","(CLL)EASTERWD FLD CO",30.58,-96.37,3034800,9622200
202306,179396,1092586,1,3.29,"NNE","WELLBORN",30.57,-96.27,3034200,9616200
202306,179396,1092587,1,.91,"NW","COLLEGE STATION",30.61,-96.34,3036600,9620400
202306,179396,1092588,1,.91,"NW","IOLA",30.78,-96.09,3046800,965400
202306,179396,1092589,1,2.26,"NE","COLLEGE STATION",30.62,-96.3,3037200,9618000
202306,179396,1092590,1,3.15,"NE","HARVEY",30.68,-96.24,3040800,9614400
202306,179396,1092592,1,.59,"E","BRYAN",30.67,-96.36,3040200,9621600
202306,179396,1092593,1,1.92,"WSW","WHITE HALL",30.29,-96,3017400,9600
202306,179396,1092594,1,0,"N","ANDERSON",30.48,-95.98,3028800,9558800
202306,179396,1092604,1,.69,"S","MAGNOLIA",30.21,-95.75,3012600,9545000
202306,179396,1092605,1,1.83,"SW","ENGLEWOOD",29.76,-95.37,2945600,9522200
202306,179396,1092606,1,.91,"NE","(IAH)HOUSTON INTL AR",29.99,-95.34,2959400,9520400
202306,179396,1092607,1,1.38,"ENE","HOUSTON HGTS",29.76,-95.38,2945600,9522800
202306,179396,1092608,1,.92,"SE","HOUSTON",29.72,-95.36,2943200,9521600
202306,179398,1093149,1,4.94,"ESE","CLEAR LAKE",29.5306,-95.0015,2931836,9590
202306,179398,1093151,1,11.39,"SW","BUOY 42035",29.13,-94.55,297800,9433000
202306,179398,1093152,1,1.74,"NNE","TEXAS CITY",29.4236,-94.8897,2925416,9453382
202306,179398,1093153,1,0,"N","NORTH JETTY",29.37,-94.73,2922200,9443800
202306,179398,1093166,1,2.38,"ESE","FREEPORT",28.936,-95.294,2856160,9517640
202306,179398,1093167,1,5.2,"SW","NORTH JETTY",29.3133,-94.7867,2918798,9447202
202306,179398,1093168,1,6.21,"W","SAN LUIS PASS",29.0757,-95.1226,294542,957356
202306,179398,1093169,1,9.62,"NE","NORTH JETTY",29.4682,-94.6167,2928092,9437002
202306,179398,1093170,1,0,"N","BUOY 42035",29.23,-94.4,2913800,9424000
202303,176772,1074046,1,.69,"S","HELENA",34.27,-81.63,3416200,8137800
202303,176772,1074047,1,1.08,"SSE","HELENA",34.2649,-81.6251,3415894,8137506
202303,176772,1074048,1,0,"N","POMARIA",34.27,-81.42,3416200,8125200
202303,176772,1074049,1,2.46,"SSW","MONTGOMERY",34.1001,-81.1534,346006,819204
202303,176772,1074050,1,.93,"ESE","BOUKNIGHT",33.7726,-81.8065,3346356,8148390
202303,176772,1074051,1,2.85,"W","PROVIDENCE",34.0199,-81.3197,341194,8119182
202303,176772,1074052,1,1.42,"N","(CAE)COLUMBIA METRO",33.9503,-81.1239,3357018,817434
202303,176772,1074054,1,2.27,"SE","HILTON",34.1078,-81.2708,346468,8116248
202303,176772,1074055,1,0,"N","(MMT)MC ENTIRE ANG",33.92,-80.8,3355200,8048000
202303,176772,1074056,1,0,"N","(CAE)COLUMBIA METRO",33.93,-81.12,3355800,817200
202303,176781,1074089,1,7.78,"SSW","MATAGORDA",28.5911,-95.9826,2835466,9558956
202303,176781,1074090,1,11.39,"SW","BUOY 42035",29.13,-94.55,297800,9433000
202303,176783,1074107,1,1.43,"W","LOCKINGTON",40.2021,-84.257,4012126,8415420
202303,176783,1074107,2,.31,"NW","LOCKINGTON",40.2033,-84.2341,4012198,8414046
202303,176783,1074107,3,1.24,"NW","LOCKINGTON",40.2143,-84.2441,4012858,8414646
202303,176783,1074107,4,1.9,"WNW","LOCKINGTON",40.214,-84.2609,4012840,8415654
202303,176783,1074108,1,2.07,"SW","NEW HAMPSHIRE",40.5269,-83.9752,4031614,8358512
202303,176783,1074108,2,1.05,"WSW","NEW KNOXVILLE",40.5156,-84.3391,4030936,8420346
202303,176783,1074108,3,2.45,"NW","GLYNWOOD",40.6085,-84.3478,4036510,8420868
202303,176783,1074108,4,2.34,"WSW","WAYNESFIELD",40.5862,-84.0207,4035172,841242
202303,176783,1074109,1,1.05,"W","PHILOTHEA",40.45,-84.67,4027000,8440200
202303,176783,1074109,2,.83,"WSW","PHILOTHEA",40.4473,-84.6655,4026838,8439930
202303,176783,1074109,3,.67,"WNW","PHILOTHEA",40.4532,-84.6621,4027192,8439726
202303,176783,1074109,4,1.05,"WNW","PHILOTHEA",40.4531,-84.6695,4027186,8440170
202303,176783,1074110,1,3.15,"W","CELINA",40.55,-84.63,4033000,8437800
202303,176783,1074110,2,3.19,"W","CELINA",40.5552,-84.6304,4033312,8437824
202303,176783,1074110,3,2.93,"W","CELINA",40.555,-84.6253,4033300,8437518
